"melid","performer","title","solopart","chorus_count","instrument","style","tonalitytype","genre","rhythmfeel","avgtempo","tempoclass","key","signature","recordingdate","composer","form","template","label","releasedate"
"423","Warne Marsh","Crosscurrent","1","1","ts","COOL","FUNCTIONAL","ORIGINAL","SWING","258.2","UP","F-maj","4/4","1949-03-04","Lennie Tristano","A8B8C8A8","","Membran Musc Ltd.","2005"
"424","Warne Marsh","Tautology","1","2","ts","COOL","FUNCTIONAL","ORIGINAL","SWING","269.9","UP","F-maj","4/4","1949-09-27","Lee Konitz","A8B8C8A8","","Quadromania","2005"
"425","Warne Marsh","Wow","1","1","ts","COOL","FUNCTIONAL","ORIGINAL","SWING","175.1","MEDIUM UP","F-maj","4/4","1949-03-04","","A8B8A8B8","","Membran Music Ltd.","2005"
"426","Wayne Shorter","Adam's Apple","1","4","ts","POSTBOP","COLOR","ORIGINAL","LATIN","174.4","MEDIUM UP","Ab-mix","4/4","1966-02-24","Wayne Shorter","A16B8","","Blue Note","1987"
"427","Wayne Shorter","Dolores","1","3","ts","POSTBOP","COLOR","ORIGINAL","SWING","277.4","UP","Db-chrom","4/4","24-25.10.1966","Shorter","A8B6A8","","Columbia","1967"
"428","Wayne Shorter","Down Under","1","2","ts","HARDBOP","BLUES","ORIGINAL","SWING","147.1","MEDIUM UP","F#-min","4/4","1961-10-02","Freddie Hubbard","A12","Blues","Blue Note","1997"
"429","Wayne Shorter","E.S.P.","1","2","ts","POSTBOP","COLOR","ORIGINAL","SWING","284.5","UP","F-maj","4/4","September 1964?","Shorter/Davis","A16A16","","Columbia","1991"
"430","Wayne Shorter","Eighty-One","1","5","ts","POSTBOP","BLUES","ORIGINAL","SWING","138.4","MEDIUM","F-maj","4/4","September 1964?","Carter/Davis","A12","Blues","Columbia","1991"
"431","Wayne Shorter","Footprints","1","4","ts","POSTBOP","BLUES","ORIGINAL","SWING","136.1","MEDIUM","C-min","6/4","1966-02-24","Wayne Shorter","A12","Blues","Blue Note","1987"
"432","Wayne Shorter","Infant Eyes","1","1","ts","POSTBOP","COLOR","ORIGINAL","BALLAD","51.3","SLOW","Eb-chrom","4/4","1964-12-24","Shorter","A9B9A9","","Blue Note","1988"
"433","Wayne Shorter","Juju","1","7","ts","POSTBOP","COLOR","ORIGINAL","LATIN","178.2","MEDIUM UP","B-chrom","3/4","1964-08-03","Wayne Shorter","A24","","Blue Note","1988"
"434","Wayne Shorter","Orbits","1","1","ts","POSTBOP","COLOR","ORIGINAL","SWING","267.1","UP","","4/4","24-25.10.1966","Shorter","open","","Columbia","1967"
"435","Wayne Shorter","Speak No Evil","1","2","ts","POSTBOP","COLOR","ORIGINAL","SWING","142.7","MEDIUM UP","C-min","4/4","1964-12-24","Wayne Shorter","A14A14B8A14","","Blue Note","1988"
"436","Woody Shaw","Dat Dere","1","2","tp","POSTBOP","FUNCTIONAL","ORIGINAL","SWING","114.7","MEDIUM","C-min","4/4","1987-06-24","O. Brown Jr./B. Timmons","A8A8B8A8","","32 Jazz","1998"
"437","Woody Shaw","If I Were a Bell","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","252.3","UP","F-maj","4/4","1987-06-24","F. Loesser","A16B16","","32 Jazz","1998"
"438","Woody Shaw","Imagination","1","1","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","LATIN","60.1","SLOW","Eb-maj","4/4","1987-06-24","J. VanHuesen/J. Burke","A8A8B8A14","","32 Jazz","1998"
"439","Woody Shaw","In a Capricornian Way","1","3","cor","POSTBOP","COLOR","ORIGINAL","SWING","171.8","MEDIUM UP","","3/4","05.&06.08.1978","Woody Shaw","A16A16B20","","Columbia","1978"
"440","Woody Shaw","Rahsaan's Run","1","6","tp","POSTBOP","FUNCTIONAL","ORIGINAL","SWING","297.8","UP","G-min","4/4","1977-12-19","Woody Shaw","A24","","Columbia (Legacy)","1998"
"441","Woody Shaw","Rosewood","1","1","tp","POSTBOP","COLOR","ORIGINAL","LATIN/FUNK","171.7","MEDIUM UP","","4/4","1977-12-15","Woody Shaw","A16B20A16B16","","Columbia (Legacy)","1998"
"442","Woody Shaw","Stepping Stone","1","1","cor","POSTBOP","FUNCTIONAL","ORIGINAL","SWING","266.2","UP","F-maj","4/4","05.&06.08.1978","Woody Shaw","A16B16","","Columbia","1978"
"443","Woody Shaw","Steve's Blues","1","5","tp","POSTBOP","BLUES","ORIGINAL","SWING","205.5","UP","F-maj","4/4","1987-06-24","S. Turre","A12","Blues","32 Jazz","1998"
"444","Wynton Marsalis","April in Paris","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","153.7","MEDIUM UP","C-maj","4/4","29.-30.5.1986, 24.-25.9.1986","Vernon Duke, Yip Harburg","A8B8C8D8","","CBS/Columbia","1987"
"445","Wynton Marsalis","Caravan","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","196.6","UP","C-maj","4/4","29.-30.5.1986, 24.-25.9.1986","Juan Tizol","A8A8B8A8","","CBS/Columbia","1987"
"446","Wynton Marsalis","Cherokee","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","338","UP","Bb-maj","4/4","29.-30.5.1986, 24.-25.9.1986","Ray Noble","A16A16B16A16","","CBS/Columbia","1987"
"447","Wynton Marsalis","Cherokee II","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","340.3","UP","Bb-maj","4/4","29.-30.5.1986, 24.-25.9.1986","Ray Noble","A16A16B16A16","","CBS/Columbia","1987"
"448","Wynton Marsalis","Johnny Come Lately","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","245.4","UP","G-min","4/4","03.-08.09.1991","Duke Ellington","A8A8B8A8","","Verve","1992"
"449","Wynton Marsalis","U.M.M.G.","1","2","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","221.3","UP","Db-maj","4/4","03.-08.09.1991","Billy Strayhorn","A8A8B8A8","","Verve","1992"
"450","Wynton Marsalis","You're My Everything","1","1","tp","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","137.6","MEDIUM","B-maj","4/4","1990","Mort Dixon, Harry Warren, Joe Young","A16B16","","CBS/Columbia","1990"
"451","Zoot Sims","All the Things You Are","1","1","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","192.2","UP","Ab-maj","4/4","1950-04-23","J. Kern, O. Hammerstein","A8B8C8D12","","Membran Music Ltd.","2005"
"452","Zoot Sims","Dancing in the Dark","1","1","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","124.7","MEDIUM","Ab-maj","4/4","1950-09-16","Dietz/Schwartz","A16B16","","Membran Music Ltd.","2005"
"453","Zoot Sims","Dancing in the Dark","2","1","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","122.1","MEDIUM","Ab-maj","4/4","1950-09-16","Dietz/Schwartz","A16B16","","Membran Music Ltd.","2005"
"454","Zoot Sims","King David","1","1","ts","COOL","BLUES","ORIGINAL","SWING","151.1","MEDIUM UP","Bb-maj","4/4","1950-06-08","Roy Eldridge","A12","Blues","Membran Music Ltd.","2005"
"455","Zoot Sims","Night and Day","1","2","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","216.7","UP","D-maj","4/4","1950-06-16","C. Porter","A8B8A8B8C8B8","","Membran Music Ltd.","2005"
"456","Zoot Sims","Night and Day","2","1","ts","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","217.6","UP","D-maj","4/4","1950-06-16","C. Porter","A8B8A8B8C8B8","","Membran Music Ltd.","2005"
