"melid","performer","title","solopart","chorus_count","instrument","style","tonalitytype","genre","rhythmfeel","avgtempo","tempoclass","key","signature","recordingdate","composer","form","template","label","releasedate"
"327","Miles Davis","Walkin'","1","7","tp","HARDBOP","BLUES","ORIGINAL","SWING","127.7","MEDIUM","F-maj","4/4","1954-04-29","Miles Davis/Richard Carpenter","A12","Blues","Prestige","1957"
"328","Milt Jackson","All the Things You Are","1","1","vib","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","166.9","MEDIUM UP","Ab-maj","4/4","1952-12-22","J. Kern, O. Hammerstein","A8B8C8D12","","Membran International","2005"
"329","Milt Jackson","Bag's Groove","1","2","vib","BEBOP","BLUES","ORIGINAL","SWING","175.1","MEDIUM UP","F-maj","4/4","1952-04-07","Milt Jackson","A12","Blues","Membran International","2005"
"330","Milt Jackson","Bemsha Swing","1","5","vib","COOL","FUNCTIONAL","ORIGINAL","SWING","152.3","MEDIUM UP","C-maj","4/4","1954-12-24","Thelonious Monk, Denzil Best","A8B8","","Quadromania","2005"
"331","Milt Jackson","Don't Get Around Much Anymore","1","1","vib","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","182.6","UP","C-maj","4/4","1952-04-07","Ellington/Russel","A8A8B8A8","","Membran International","2005"
"332","Milt Jackson","Softly as in a Morning Sunrise","1","3","vib","COOL","MODAL","GREAT AMERICAN SONGBOOK","SWING","137.3","MEDIUM","C-min","4/4","1955-07-02","S. Romberg/O. Hammerstein","A8A8B8A8","","Membran International","2005"
"333","Milt Jackson","What's New","1","1","vib","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","71.5","SLOW","C-maj","4/4","1952-04-07","Haggart/Burke","B8A8","","Membran International","2005"
"334","Nat Adderley","Bohemia After Dark","1","3","tp","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","295.4","UP","G-min","4/4","18. + 20.10.1959","Oscar Pettiford","A8A8B8A8","","Riverside","1989"
"335","Nat Adderley","Work Song","1","3","tp","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","155.4","MEDIUM UP","F-min","4/4","1960-02-01","Nat Adderley","A16","","Giants of Jazz","1993"
"336","Ornette Coleman","Bird Food","1","1","as","FREE","FREE","ORIGINAL","SWING","255.8","UP","","","8-9.10.1959","Coleman","open","","Atlantic Records","1992"
"337","Ornette Coleman","Chronology","1","1","as","FREE","FREE","ORIGINAL","SWING","236","UP","","","1959-05-22","Coleman","open","","Atlantic Records","1959"
"338","Ornette Coleman","Congeniality","1","1","as","FREE","FREE","ORIGINAL","SWING","232.6","UP","","","1959-05-22","Coleman","open","","Atlantic Records","1959"
"339","Ornette Coleman","Peace","1","1","as","FREE","FREE","ORIGINAL","SWING","125.7","MEDIUM","","","1959-05-22","Coleman","open","","Atlantic Records","1959"
"340","Ornette Coleman","Ramblin'","1","1","as","FREE","FREE","ORIGINAL","SWING","201.3","UP","","","8-9.10.1959","Coleman","open","","Atlantic Records","1992"
"341","Pat Martino","Along Came Betty","1","2","g","POSTBOP","FUNCTIONAL","ORIGINAL","LATIN","132.7","MEDIUM","Ab-maj","4/4","1974-07-10","Benny Golson","A16B8C8","","Muse Records","1989"
"342","Pat Metheny","All the Things You Are","1","6","g","POSTBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","306.7","UP","F-maj","4/4","1989-12-21","J. Kern, O. Hammerstein","A8B8C8D12","","Geffen Records","1990"
