"melid";"performer";"title";"solopart";"chorus_count";"instrument";"style";"tonalitytype";"genre";"rhythmfeel";"avgtempo";"tempoclass";"key";"signature";"recordingdate";"composer";"form";"template";"label";"releasedate";"numnotes";"duration";"recordingyear"
11;"Benny Carter";"Long Ago and Far Away";1;1;"as";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";185;"UP";"F-maj";"4/4";"1952-09-18";"Kern/Gershwin";"A8B8A8C8";"";"Membran Music Ltd.";2004;198;30,4;1936
12;"Benny Carter";"Long Ago and Far Away";2;1;"as";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";185,8;"UP";"F-maj";"4/4";"1952-09-18";"Kern/Gershwin";"A8B8A8C8";"";"Membran Music Ltd.";2004;162;27,8;1937
13;"Benny Carter";"Sweet Lorraine";1;1;"as";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";91,5;"MEDIUM SLOW";"G-maj";"4/4";"1986-11-14";"Mitchel Parish / Cliff Burwell";"A8A8B8A8";"";"Pablo Records";1987;180;29,6;1936
14;"Benny Goodman";"Avalon";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";241;"UP";"Eb-maj";"4/4";"1937-02-03";"Jolson/Rose";"A8A8B8A8";"";"History/This is Music";1998;203;36,1;1936
15;"Benny Goodman";"Handful of Keys";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";303,1;"UP";"Eb-maj";"4/4";"1937";"";"A8A8B8A8";"";"";1937;158;39,4;1936
16;"Benny Goodman";"Nobody's Sweetheart";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";311,3;"UP";"Ab-maj";"4/4";"1936-04-27";"Kahn/Erdman/Meyers/Schoebell";"A24B16C24";"";"History/This is Music";1998;451;160,7;1959
17;"Benny Goodman";"Runnin' Wild";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";285;"UP";"Bb-maj";"4/4";"1937-02-03";"Grey/Wood/Gibs";"A8A8B8B8";"";"History/This is Music";1998;424;129,6;1962
18;"Benny Goodman";"Tiger Rag";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";268;"UP";"Ab-maj";"4/4";"1936-12-02";"La Rocca, Shields";"A16B16";"";"History - (Trumpets of Jericho)s";NA;308;103,1;1956
19;"Benny Goodman";"Tiger Rag";2;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";271,2;"UP";"Ab-maj";"4/4";"1936-12-02";"La Rocca, Shields";"A16B16";"";"History - (Trumpets of Jericho)s";NA;375;126,1;1956
20;"Benny Goodman";"Whispering";1;1;"cl";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";198,6;"UP";"Eb-maj";"4/4";"1936-12-02";"Schonberger/Coburn/Rose";"A16B16";"";"History/This is Music";1998;268;117,2;1956
26;"Bix Beiderbecke";"I'm Coming Virginia";1;2;"cor";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";131,5;"MEDIUM";"F-maj";"4/4";"1927-12-05";"Heywood";"A8B8C8";"";"Proper/Retro";1997;225;88,2;1927
27;"Bix Beiderbecke";"Margie";1;1;"cor";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";180;"UP";"Eb-maj";"4/4";"1928-09-21";"Davis/Conrad/Robinson";"A8B8";"";"History";NA;62;19,5;1928
28;"Bix Beiderbecke";"Riverboat Shuffle";1;1;"cor";"TRADITIONAL";"FUNCTIONAL";"ORIGINAL";"TWOBEAT";210,9;"UP";"Ab-maj";"4/4";"1927-05-09";"Voynow/Carmichael/Mills/Parish";"A16B16";"";"History";NA;161;36,7;1927
29;"Bix Beiderbecke";"Royal Garden Blues";1;1;"cor";"TRADITIONAL";"BLUES";"GREAT AMERICAN SONGBOOK";"TWOBEAT";174,1;"MEDIUM UP";"Bb-maj";"4/4";"1927-10-05";"C. & S. Williams";"A12";"Blues";"History";NA;72;15,4;1927
30;"Bix Beiderbecke";"Singin the Blues";1;1;"cor";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";134;"MEDIUM";"Eb-maj";"4/4";"04.20.1927";"Robinson/Conrad";"A8A8B8";"";"Proper/Retro";1997;160;56,6;1927
31;"Bob Berg";"Angles";1;3;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";270,1;"UP";"Ab-maj";"4/4";"1993";"Bob Berg";"A16A16B16";"";"Stretch Records";1993;799;126,7;1993
32;"Bob Berg";"Blues for Bela";1;8;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";249,4;"UP";"C-min";"4/4";"1993";"Bob Berg";"A12";"Blues";"Stretch Records";1993;533;91;1993
33;"Bob Berg";"I Didn't Know What Time It Was";1;3;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";126,7;"MEDIUM";"F-maj";"4/4";"1979";"Lorenz Hart/Richard Rogers";"A8A8B8C12";"";"SteepleChase";2005;906;203,8;1979
34;"Bob Berg";"Nature of the Beast";1;1;"ts";"POSTBOP";"MODAL";"ORIGINAL";"LATIN";131,8;"MEDIUM";"C-min";"4/4";"1993";"Bob Berg";"A8A8A8A10B8";"";"GRP Records / Stretch Records";1993;964;196,9;1993
35;"Bob Berg";"No Moe";1;2;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";161,8;"MEDIUM UP";"Bb-maj";"4/4";"1993";"Sonny Rollins";"A8A8B8A8";"I Got Rhythm";"GRP Records / Stretch Records";1993;633;137,9;1993
36;"Bob Berg";"Second Sight";1;3;"ts";"FUSION";"FUNCTIONAL";"ORIGINAL";"FUNK";114,3;"MEDIUM";"Bb-maj";"4/4";"1993";"Bob Berg";"A16B16C10";"";"Stretch Records";1993;404;77;1993
37;"Bob Berg";"You and the Night and the Music";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"LATIN";167,1;"MEDIUM UP";"G-min";"4/4";"1997";"Bob Berg";"A8A8B8C12";"";"Stretch Records";1997;655;95;1997
38;"Branford Marsalis";"Gutbucket Steepy";1;5;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";70,1;"SLOW";"Db-maj";"4/4";"03.-04.01.1988";"Hinton, B.Marsalis, Watts";"A12";"Blues";"CBS/Columbia";1989;495;210;1988
39;"Branford Marsalis";"Housed from Edward";1;10;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";126,6;"MEDIUM";"F-maj";"4/4";"03.-04.01.1988";"B. Marsalis";"A12";"Blues";"CBS/Columbia";1989;845;228,4;1988
40;"Branford Marsalis";"Housed from Edward";2;2;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";121,9;"MEDIUM";"F-maj";"4/4";"03.-04.01.1988";"B. Marsalis";"A12";"Blues";"CBS/Columbia";1989;163;49,4;1988
41;"Branford Marsalis";"The Nearness of You";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";36,8;"SLOW";"D-maj";"4/4";"03.-04.01.1988";"B. Marsalis";"A8A8B8C12";"";"CBS/Columbia";1989;971;333,3;1988
42;"Branford Marsalis";"Three Little Words";1;7;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";264,3;"UP";"C-maj";"4/4";"03.-04.01.1988";"Harry Ruby, Bert Kalmar";"A8A8B8A8";"";"CBS/Columbia";1989;1104;192,6;1988
43;"Branford Marsalis";"U.M.M.G.";1;6;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";211,6;"UP";"Db-maj";"4/4";"03.-04.01.1988";"Billy Strayhorn";"A8A8B8A8";"";"CBS/Columbia";1989;1113;226,8;1988
44;"Buck Clayton";"After Theatre Jump";1;1;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";175,9;"MEDIUM UP";"Db-maj";"4/4";"1944-03-22";"Wells";"A8A8B8A8";"I Got Rhythm";"Membran Music Ltd..";2005;156;44,8;1944
45;"Buck Clayton";"Destination K.C.";1;2;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";248;"UP";"C-maj";"4/4";"1944-03-22";"Clayton";"A8A8B8A8";"I Got Rhythm";"Membran Music Ltd..";2005;272;61,3;1944
46;"Buck Clayton";"Dickie's Dream";1;1;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";230,8;"UP";"C-min";"4/4";"1939-09-05";"Basie-Young";"A8A8B8A8";"";"Membran Music Ltd..";2005;161;33,6;1939
47;"Cannonball Adderley";"High Fly";1;2;"as";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";128,9;"MEDIUM";"Bb-maj";"4/4";"18. + 20.10.1959";"Randy Weston";"A8A8B8C8";"";"Riverside";1989;530;120,4;1959
48;"Cannonball Adderley";"So What";1;2;"as";"POSTBOP";"MODAL";"ORIGINAL";"SWING";142,2;"MEDIUM UP";"D-dor";"4/4";"1959-03-02";"Davis/Evans";"A8A8B8A8";"So What";"CBS";1962;445;105,3;1959
49;"Cannonball Adderley";"Star Eyes";1;2;"as";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";193,9;"UP";"Eb-maj";"4/4";"1961-05-11";"Raye/DePaul";"A8A8B8C12";"";"Riverside";1987;450;88,7;1961
50;"Cannonball Adderley";"This Here";1;5;"as";"HARDBOP";"BLUES";"ORIGINAL";"SWING";174,7;"MEDIUM UP";"F-maj";"3/4";"18. + 20.10.1959";"Bobby Timmons";"A16B12C10";"Blues";"Riverside";1989;826;166,1;1959
51;"Cannonball Adderley";"Work Song";1;4;"as";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";156,3;"MEDIUM UP";"F-min";"4/4";"1960-02-01";"Nat Adderley";"A16";"";"Giants of Jazz";1993;391;98,9;1960
52;"Charlie Parker";"Billie's Bounce";1;4;"as";"BEBOP";"BLUES";"ORIGINAL";"SWING";158,5;"MEDIUM UP";"F-maj";"4/4";"1945-11-26";"Charlie Parker";"A12";"Blues";"Proper Records";NA;303;73,1;1945
53;"Charlie Parker";"Blues for Alice";1;3;"as";"BEBOP";"BLUES";"ORIGINAL";"SWING";168,9;"MEDIUM UP";"F-maj";"4/4";"1951-08-08";"Charlie Parker";"A12";"Blues";"Proper Records";2002;279;52;1951
54;"Charlie Parker";"Don't Blame Me";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";63,7;"SLOW";"C-maj";"4/4";"1947-11-04";"Fields/McHugh";"A8A8B8A8";"";"Proper Records";2002;516;122;1947
55;"Charlie Parker";"Donna Lee";1;2;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";225,7;"UP";"Ab-maj";"4/4";"1947-05-08";"Miles Daivs";"A16B16";"";"Proper Records";2002;371;69,7;1947
56;"Charlie Parker";"Embraceable You";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";72,3;"SLOW";"F-maj";"4/4";"1947-10-28";"G. Gershwin";"A16B16";"";"Proper Records";2002;450;107,9;1947
57;"Charlie Parker";"How Deep Is the Ocean";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";71,9;"SLOW";"C-min";"4/4";"1947-11-17";"Berlin";"A8B8A8C8";"";"Proper Records";NA;375;108,5;1947
58;"Charlie Parker";"K.C. Blues";1;2;"as";"BEBOP";"BLUES";"ORIGINAL";"SWING";118,3;"MEDIUM";"C-maj";"4/4";"1951-01-17";"Parker";"A12";"Blues";"Proper Records";2002;196;51;1951
59;"Charlie Parker";"Ko-Ko";1;1;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";299,4;"UP";"Bb-maj";"4/4";"1945-11-26";"Parker";"A16A16B16A16";"Cherokee";"Proper Records";NA;538;77;1945
60;"Charlie Parker";"My Little Suede Shoes";1;1;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"LATIN";145,9;"MEDIUM UP";"Eb-maj";"4/4";"1951-03-12";"Parker";"A8A8B8A8";"";"Proper Records";2002;256;53,3;1951
61;"Charlie Parker";"Ornithology";1;1;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";221;"UP";"G-maj";"4/4";"1946-07-29";"Parker";"A16B16";"How High The Moon";"Proper Records";NA;194;35,1;1946
62;"Charlie Parker";"Out of Nowhere";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";67,6;"SLOW";"G-maj";"4/4";"1947-11-04";"Heyman, Green";"A16B16";"";"Proper Records";2002;482;114,8;1947
63;"Charlie Parker";"Scrapple from the Apple";1;2;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";165;"MEDIUM UP";"F-maj";"4/4";"1947-11-04";"Parker";"A8A8B8A8";"";"Proper Records";2002;270;57,6;1947
64;"Charlie Parker";"Segment";1;2;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";246,9;"UP";"Bb-min";"4/4";"1949-05-05";"Parker";"A8A8B8A8";"";"Proper Records";NA;351;61,9;1949
65;"Charlie Parker";"Star Eyes";1;1;"as";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";133,8;"MEDIUM";"Eb-maj";"4/4";"March-April 1950";"Raye/DePaul";"A8A8B8C12";"";"Proper Records";NA;314;65,2;1950
66;"Charlie Parker";"Steeplechase";1;1;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";175,2;"MEDIUM UP";"Bb-maj";"";"1948-09-24";"Parker";"A8A8B8A8";"I Got Rhythm";"Proper Records";NA;228;44,5;1948
67;"Charlie Parker";"Thriving on a Riff";1;2;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";227,2;"UP";"Bb-maj";"4/4";"1945-11-26";"Parker/Gillespie";"A8A8B8A8";"I Got Rhythm";"Savoy";2002;357;68,3;1945
68;"Charlie Parker";"Yardbird Suite";1;1;"as";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";209,8;"UP";"C-maj";"4/4";"1946-03-28";"Parker";"A8A8B8A8";"";"Proper Records";NA;192;37,1;1946
69;"Charlie Shavers";"Limehouse Blues";1;1;"tp";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";269,1;"UP";"Ab-maj";"4/4";"1941-09-13";"Braham, Furber";"A16B16C16D16";"";"Trumpets of Jericho Ltd.";NA;145;29;1941
70;"Chet Baker";"I Fall in Love Too Easily";1;1;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";65,2;"SLOW";"Eb-maj";"4/4";"1954-02-15";"Cahn/Styne";"A8B8";"";"Giants of Jazz";1996;129;58,4;1954
71;"Chet Baker";"Just Friends";1;2;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";189,9;"UP";"G-maj";"4/4";"1955-03-07";"Klenner/Lewis";"A16B16";"";"Giants of Jazz";1996;191;50,2;1955
72;"Chet Baker";"Let's Get Lost";1;1;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";157,5;"MEDIUM UP";"C-maj";"4/4";"1955-03-07";"Loesser / McHugh";"A8B8A8C8";"";"Giants of Jazz";1996;142;48,7;1955
73;"Chet Baker";"Long Ago and Far Away";1;1;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";177,5;"MEDIUM UP";"G-maj";"4/4";"1955-03-07";"Kern/Gershwin";"A8B8A8C8";"";"Giants of Jazz";1996;171;45,7;1955
74;"Chet Baker";"There Will Never Be Another You";1;1;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";168,7;"MEDIUM UP";"F-maj";"4/4";"1954-02-15";"Gordon/Warren";"A16B16";"";"Giants of Jazz";1996;190;56,7;1954
75;"Chet Baker";"There Will Never Be Another You";2;1;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";169,8;"MEDIUM UP";"F-maj";"4/4";"1954-02-15";"Gordon/Warren";"A16B16";"";"Giants of Jazz";1996;121;29,8;1954
76;"Chet Baker";"Two's Blues";1;4;"tp";"COOL";"BLUES";"ORIGINAL";"SWING";202,2;"UP";"G-min";"4/4";"1975-04-16";"Jim Hall";"A12";"Blues";"Sony Music Entertainment Ltd..";2001;173;59,7;1975
77;"Chet Baker";"You'd Be So Nice to Come Home to";1;4;"tp";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";225,4;"UP";"G-min";"4/4";"1975-04-23";"Cole Porter";"A16B16";"";"Sony Music Entertainment Ltd..";2001;311;68,8;1975
78;"Chris Potter";"Anthropology";1;4;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";245,3;"UP";"Bb-maj";"4/4";"1999";"Parker, Gillespie";"A8A8B8A8";"I Got Rhythm";"Double-Time Records";1999;687;125,6;1999
79;"Chris Potter";"Arjuna";1;1;"ts";"FUSION";"MODAL";"ORIGINAL";"FUNK";117,7;"MEDIUM";"D-chrom";"4/4";"15.-17.2.2007";"Chris Potter";"open";"";"Sunnyside Records";2007;1318;233,8;2007
80;"Chris Potter";"In a Sentimental Mood";1;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";48,6;"SLOW";"D-min";"4/4";"1993";"D. Ellington/H. Dietz/ M. Kutz/I. Mills/A. Schwartz";"A8A8B8";"";"Concorde Jazz";1993;413;109;1993
81;"Chris Potter";"Item 1, D.I.T.";1;18;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";301;"UP";"C-maj";"4/4";"December 2001";"Steve Swallow";"A16";"";"WATT Works";2003;1631;227,6;2001
82;"Chris Potter";"Pop Tune #1";1;1;"ts";"FUSION";"MODAL";"ORIGINAL";"FUNK";108,6;"MEDIUM SLOW";"G-min";"4/4";"15.-17.2.2007";"Chris Potter";"open";"";"Sunnyside Records";2007;1353;308,5;2007
83;"Chris Potter";"Rumples";1;1;"ts";"FUSION";"MODAL";"ORIGINAL";"FUNK";134,9;"MEDIUM";"F-min";"4/4";"2009";"Chris Potter";"open";"";"Artishare";2009;821;128,1;2009
84;"Chris Potter";"Togo";1;1;"ts";"FUSION";"MODAL";"ORIGINAL";"FUNK";112;"MEDIUM";"F-min";"4/4";"15.-17.2.2007";"Ed Blackwell";"open";"";"Sunnyside Records";2007;933;192,6;2007
85;"Chu Berry";"Body and Soul";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";81,9;"MEDIUM SLOW";"C-maj";"4/4";"1938-11-11";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Classic Records";1994;251;91;1938
86;"Chu Berry";"Body and Soul";2;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";92,5;"MEDIUM SLOW";"C-maj";"4/4";"1938-11-11";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Classic Records";1994;122;35,7;1938
87;"Clifford Brown";"A Night in Tunisia";1;3;"tp";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";189,7;"UP";"D-min";"4/4";"1954-02-21";"Dizzie Gillespie";"A8A8B8A8";"";"Membran International";2005;624;120,2;1954
88;"Clifford Brown";"Daahoud";1;2;"tp";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";240,9;"UP";"Eb-maj";"4/4";"1954-08-06";"Clifford Brown";"A8A8B8A8";"";"Membran International";2005;398;64,3;1954
89;"Clifford Brown";"George's Dilemma";1;2;"tp";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"A:LATIN/B:SWING";154,8;"MEDIUM UP";"Db-min";"4/4";"1955-02-24";"Clifford Brown";"A16B8A8";"";"Nippon Phonogram Co., Ltd.0";1989;429;100,7;1955
90;"Clifford Brown";"I'll Remember April";1;2;"tp";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";291,5;"UP";"G-maj";"4/4";"1956-02-16";"Raye/DePaul/Johnston";"A16B16A16";"";"EmArcy";1991;573;80,4;1956
91;"Clifford Brown";"I'll Remember April";1;2;"tp";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";285,4;"UP";"G-maj";"4/4";"1956-02-16";"Raye/DePaul/Johnston";"A16B16A16";"";"Nippon Phonogram Co., Ltd.0";1989;590;81,7;1956
92;"Clifford Brown";"Jordu";1;2;"tp";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";139;"MEDIUM";"Eb-maj";"4/4";"1954-08-03";"Duke Jordan";"A8A8B8A8";"";"Membran International";2005;552;110,2;1954
93;"Clifford Brown";"Joy Spring";1;2;"tp";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";161;"MEDIUM UP";"F-maj";"4/4";"1954-08-06";"Clifford Brown";"A16B8C8";"";"Nippon Phonogram Co., Ltd.0";1989;455;94,7;1954
94;"Clifford Brown";"Sandu";1;2;"tp";"HARDBOP";"BLUES";"ORIGINAL";"SWING";139,5;"MEDIUM";"Eb-maj";"4/4";"1955-02-25";"Clifford Brown";"A12";"Blues";"Nippon Phonogram Co., Ltd.0";1989;201;44,8;1955
95;"Clifford Brown";"Stompin' at the Savoy";1;2;"tp";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";163,9;"MEDIUM UP";"Db-maj";"4/4";"1954-08-03";"Goodman, Webb, Samson";"A16B8A8";"";"Membran International";2005;410;92,9;1954
96;"Coleman Hawkins";"Body and Soul";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";95;"MEDIUM SLOW";"Db-maj";"4/4";"1939-10-11";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Membran Music Ltd.";2005;635;167,4;1939
97;"Coleman Hawkins";"It's Only a Papermoon";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";133,7;"MEDIUM";"F-maj";"4/4";"1949-12-21";"Arlen, Rose, Harburg";"A8A8B8A8";"";"Membran Music Ltd.";2005;257;57,7;1949
98;"Coleman Hawkins";"My Blue Heaven";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";132;"MEDIUM";"Eb-maj";"4/4";"1950";"Whiting, Donaldson";"A8A8B8A8";"";"Membran Music Ltd.";2005;207;58;1950
99;"Coleman Hawkins";"Perdido";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";177,5;"MEDIUM UP";"Bb-maj";"4/4";"1950";"Tizol";"A8A8B8A8";"";"Membran Music Ltd.";2005;468;89;1950
100;"Coleman Hawkins";"Sophisticated Lady";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";67,6;"SLOW";"Ab-maj";"4/4";"1949-12-21";"Ellington";"A8A8B8A8";"";"Membran Music Ltd.";2005;696;173,6;1949
101;"Coleman Hawkins";"Stompin' at the Savoy";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";250,2;"UP";"Db-maj";"4/4";"1954";"Goodman, Webb, Samson";"A16B8A8";"";"Membran Music Ltd.";2005;346;62;1954
102;"Curtis Fuller";"Blue Train";1;5;"tb";"HARDBOP";"BLUES";"ORIGINAL";"SWING";131,8;"MEDIUM";"Eb-maj";"4/4";"1957-09-15";"John Coltrane";"A12";"Blues";"Blue Note";1985;382;107,3;1957
103;"Curtis Fuller";"Down Under";1;2;"tb";"HARDBOP";"BLUES";"ORIGINAL";"SWING";147,4;"MEDIUM UP";"F#-min";"4/4";"1961-10-02";"Freddie Hubbard";"A12";"Blues";"Blue Note";1997;119;37,1;1961
104;"David Liebman";"Begin the Beguine";1;1;"ss";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";120,1;"MEDIUM";"Bb-maj";"4/4";"1988";"Cole Porter";"A16A16B16A16";"";"Red Records";1991;319;66,4;1988
105;"David Liebman";"Day & Nite";1;4;"ss";"POSTBOP";"COLOR";"ORIGINAL";"SWING";244,9;"UP";"Eb-maj";"4/4";"1988";"David Liebman";"A16A16B16";"";"Advance Music";1988;819;183,3;1988
106;"David Liebman";"I've Got You Under My Skin";1;3;"ss";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";256,2;"UP";"Eb-maj";"4/4";"1988";"Cole Porter";"A16B16C8D16";"";"Red Records";1991;914;159,4;1988
107;"David Liebman";"Milestones";1;3;"ss";"POSTBOP";"MODAL";"ORIGINAL";"SWING";312;"UP";"F-maj";"4/4";"May 1992";"Miles Davis";"A20";"";"Red Records";1993;502;94,5;1992
108;"David Liebman";"Nica's Dream";1;1;"ss";"POSTBOP";"COLOR";"ORIGINAL";"LATIN";151,2;"MEDIUM UP";"Eb-maj";"4/4";"May 1992";"Horace Silver";"A16A16B16A16";"";"Red Records";1993;656;100,1;1992
109;"David Liebman";"No Greater Love";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";209,1;"UP";"Bb-maj";"4/4";"1996-01-05";"Symes, Jones";"A8A8B8A8";"";"Double-Time Records";1996;380;72,2;1996
110;"David Liebman";"Pablo's Story";1;4;"ss";"POSTBOP";"MODAL";"ORIGINAL";"LATIN/FUNK";144,2;"MEDIUM UP";"E-min";"4/4";"1988";"David Liebman";"A16B16";"";"Advance Music";1988;712;186,5;1988
111;"David Liebman";"Pendulum";1;1;"ss";"POSTBOP";"FREE";"ORIGINAL";"FUNK/SWING";258,6;"UP";"F#-chrom";"4/4";"1988";"Richard Beirach";"open";"";"Advance Music";1988;677;138;1988
112;"David Liebman";"Secret Love";1;3;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"LATIN";272,7;"UP";"Eb-maj";"4/4";"1996-01-05";"Parish, Sherwood";"A16A16B8A8";"";"Double-Time Records";1996;642;129,2;1996
113;"David Liebman";"Softly as in a Morning Sunrise";1;7;"ss";"POSTBOP";"MODAL";"GREAT AMERICAN SONGBOOK";"SWING";260,7;"UP";"C-min";"4/4";"1988";"S. Romberg/O. Hammerstein";"A8A8B8A8";"";"Advance Music";1988;1098;211,9;1988
114;"David Liebman";"There Will Never Be Another You";1;3;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";151,7;"MEDIUM UP";"Eb-maj";"4/4";"1996-01-05";"Gordon/Warren";"A16B16";"";"Double-Time Records";1996;799;153,4;1996
115;"David Murray";"Ask Me Now";1;1;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";131,2;"MEDIUM";"Db-maj";"4/4";"1991-04-23";"Thelonious Monk";"A8A8B8A8";"";"Enja Records";1993;281;57,2;1991
116;"David Murray";"Blues for Two";1;7;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";60,4;"SLOW";"Bb-maj";"4/4";"1990-05-19";"G. Arvanitas";"A12";"Blues";"Fresh Sound Records";1991;1302;335,5;1990
117;"David Murray";"Blues for Two";2;1;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";61,3;"SLOW";"Bb-maj";"4/4";"1990-05-19";"G. Arvanitas";"A12";"Blues";"Fresh Sound Records";1991;124;43,9;1990
